# category	field_a	field_b	freq	example_endpoints
# type: rename_pair
rename_pair	data.deleted	data.id	4	DELETE /api/appinfo/erase/app/{id} ; GET /api/appinfo/erase/app/{id}/mockdeletetoget
rename_pair	data.deleted	prompt	4	DELETE /api/appinfo/erase/app/{id} ; GET /api/appinfo/erase/app/{id}/mockdeletetoget
rename_pair	data.count	prompt	4	POST /api/viewrecord/unread/mockputtopost ; PUT /api/viewrecord/unread
rename_pair	data.id	data.value	2	GET /api/ai_assemble_control/chat/delete/{clueId}
rename_pair	data.deleted	data.value	2	GET /api/ai_assemble_control/chat/delete/{clueId}
rename_pair	data.status	data.id	2	GET /api/authentication/bind/meta/{meta}
rename_pair	data.status	data.name	2	GET /api/authentication/bind/meta/{meta}
rename_pair	data.status	data.tokenType	2	GET /api/authentication/bind/meta/{meta}
rename_pair	data.deleted	data.allowList	2	GET /api/component/assemble/control/status/list
rename_pair	data.count	data.errorTotal	2	GET /api/document/batch/{id}/status
rename_pair	data.count	data.successTotal	2	GET /api/document/batch/{id}/status
rename_pair	data.count	data.dataTotal	2	GET /api/document/batch/{id}/status
rename_pair	data.count	data.processTotal	2	GET /api/document/batch/{id}/status
rename_pair	data.count	data.fieldNames	2	GET /api/document/document/fields
rename_pair	data[0].status	data[0].updateTime	2	GET /api/form/list/all
rename_pair	data[0].status	data[0].properties	2	GET /api/form/list/all
rename_pair	data[0].status	data[0].editor	2	GET /api/form/list/all
rename_pair	data.count	data.readCompleted	2	GET /api/processplatform/assemble/surface/work/count/{credential}
rename_pair	data.count	data.taskCompleted	2	GET /api/processplatform/assemble/surface/work/count/{credential}
rename_pair	data.count	data.review	2	GET /api/processplatform/assemble/surface/work/count/{credential}
rename_pair	data.count	data.read	2	GET /api/processplatform/assemble/surface/work/count/{credential}
rename_pair	data.count	data.task	2	GET /api/processplatform/assemble/surface/work/count/{credential}
rename_pair	data.id	data.appIndexPages	2	GET /api/program_center/appstyle/current/style
rename_pair	data.id	data.indexPortal	2	GET /api/program_center/appstyle/current/style
rename_pair	data.id	data.nativeAppList	2	GET /api/program_center/appstyle/current/style
rename_pair	data.id	data.speechScript	2	GET /api/program_center/appstyle/current/style
rename_pair	data.id	data.systemMessageCanClick	2	GET /api/program_center/appstyle/current/style
rename_pair	data.id	data.systemMessageSwitch	2	GET /api/program_center/appstyle/current/style
rename_pair	data.id	data.images	2	GET /api/program_center/appstyle/current/style
rename_pair	data.id	data.simpleMode	2	GET /api/program_center/appstyle/current/style
rename_pair	data.id	data.indexType	2	GET /api/program_center/appstyle/current/style
rename_pair	data.id	data.needGray	2	GET /api/program_center/appstyle/current/style
rename_pair	data.id	data.promotionPageScript	2	GET /api/program_center/appstyle/current/style
rename_pair	data.id	data.indexCentered	2	GET /api/program_center/appstyle/current/style
rename_pair	data.id	data.appExitAlert	2	GET /api/program_center/appstyle/current/style
rename_pair	data.id	data.contactPermissionView	2	GET /api/program_center/appstyle/current/style
rename_pair	data.count	data.x_processplatform_service_processing	2	GET /api/program_center/distribute/assemble/source/{source}
rename_pair	data.count	data.x_query_assemble_designer	2	GET /api/program_center/distribute/assemble/source/{source}
rename_pair	data.count	data.x_file_assemble_control	2	GET /api/program_center/distribute/assemble/source/{source}
rename_pair	data.count	data.x_correlation_service_processing	2	GET /api/program_center/distribute/assemble/source/{source}
rename_pair	data.count	data.x_ai_assemble_control	2	GET /api/program_center/distribute/assemble/source/{source}
rename_pair	data.count	data.x_mind_assemble_control	2	GET /api/program_center/distribute/assemble/source/{source}
rename_pair	data.count	data.x_organization_assemble_express	2	GET /api/program_center/distribute/assemble/source/{source}
rename_pair	data.count	data.x_processplatform_assemble_designer	2	GET /api/program_center/distribute/assemble/source/{source}
rename_pair	data.count	data.x_general_assemble_control	2	GET /api/program_center/distribute/assemble/source/{source}
rename_pair	data.count	data.x_organization_assemble_personal	2	GET /api/program_center/distribute/assemble/source/{source}
